Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login- Data driven,Firefox 47.0,,2018-06-13 17:43:05,2018-06-13 17:44:31,1m - 26.142s,PASSED
,,,,,,
Test Cases/Common/Login with different users,Firefox 47.0,,2018-06-13 17:43:05,2018-06-13 17:43:30,25.104s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 47.0,,2018-06-13 17:43:05,2018-06-13 17:43:25,20.297s,PASSED
navigateToUrl,Firefox 47.0,,2018-06-13 17:43:25,2018-06-13 17:43:27,1.439s,PASSED
setText,Firefox 47.0,,2018-06-13 17:43:27,2018-06-13 17:43:27,0.388s,PASSED
setText,Firefox 47.0,,2018-06-13 17:43:27,2018-06-13 17:43:27,0.138s,PASSED
click,Firefox 47.0,,2018-06-13 17:43:27,2018-06-13 17:43:28,0.144s,PASSED
closeBrowser,Firefox 47.0,,2018-06-13 17:43:28,2018-06-13 17:43:28,0.494s,PASSED
Start listener action : sampleAfterTestCase,Firefox 47.0,,2018-06-13 17:43:28,2018-06-13 17:43:28,0.004s,PASSED
,,,,,,
Test Cases/Common/Login with different users,Firefox 47.0,,2018-06-13 17:43:30,2018-06-13 17:44:01,31.346s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 47.0,,2018-06-13 17:43:30,2018-06-13 17:43:57,27.027s,PASSED
navigateToUrl,Firefox 47.0,,2018-06-13 17:43:57,2018-06-13 17:43:58,1.336s,PASSED
setText,Firefox 47.0,,2018-06-13 17:43:58,2018-06-13 17:43:59,0.250s,PASSED
setText,Firefox 47.0,,2018-06-13 17:43:59,2018-06-13 17:43:59,0.132s,PASSED
click,Firefox 47.0,,2018-06-13 17:43:59,2018-06-13 17:43:59,0.204s,PASSED
closeBrowser,Firefox 47.0,,2018-06-13 17:43:59,2018-06-13 17:43:59,0.360s,PASSED
Start listener action : sampleAfterTestCase,Firefox 47.0,,2018-06-13 17:43:59,2018-06-13 17:43:59,0.003s,PASSED
,,,,,,
Test Cases/Common/Login with different users,Firefox 47.0,,2018-06-13 17:44:01,2018-06-13 17:44:31,29.331s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 47.0,,2018-06-13 17:44:01,2018-06-13 17:44:26,24.563s,PASSED
navigateToUrl,Firefox 47.0,,2018-06-13 17:44:26,2018-06-13 17:44:28,1.794s,PASSED
setText,Firefox 47.0,,2018-06-13 17:44:28,2018-06-13 17:44:28,0.251s,PASSED
setText,Firefox 47.0,,2018-06-13 17:44:28,2018-06-13 17:44:28,0.150s,PASSED
click,Firefox 47.0,,2018-06-13 17:44:28,2018-06-13 17:44:28,0.131s,PASSED
closeBrowser,Firefox 47.0,,2018-06-13 17:44:28,2018-06-13 17:44:29,0.405s,PASSED
Start listener action : sampleAfterTestCase,Firefox 47.0,,2018-06-13 17:44:29,2018-06-13 17:44:29,0.003s,PASSED
